ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
216,Adam,Wharton,7,3,0,0,2,0.02,0,1,0,73,0,1,0.09,0.11,0.64,496221,2.0
217,Abdoulaye,Doucouré,8,3,0,0,2,0.01,0,2,0,62,0,1,0.14,0.15,1.13,121599,2.0
218,Norberto Bercique,Gomes Betuncal,8,4,0,0,1,0.00,0,1,0,14,0,0,0.00,0.00,0.07,486385,1.0
219,Jarrad,Branthwaite,8,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,480455,0.0
220,Dominic,Calvert-Lewin,8,4,0,0,2,0.01,0,2,0,75,0,1,0.00,0.01,1.36,177815,2.0
221,Séamus,Coleman,8,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,59949,0.0
222,Idrissa,Gueye,8,3,0,0,2,0.01,0,3,0,90,0,1,0.02,0.03,1.43,80801,2.0
223,James,Garner,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,232928,0.0
224,Jack,Harrison,8,3,0,0,2,0.26,0,2,0,84,0,1,0.14,0.40,1.36,221399,2.0
225,Mason,Holgate,8,2,0,0,1,0.00,0,1,0,5,0,0,0.00,0.00,0.07,194164,1.0
226,Tim,Iroegbunam,8,3,0,0,2,0.01,0,3,0,90,0,1,0.14,0.15,1.43,490094,2.0
227,João,Neves Virgínia,8,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,222627,0.0
228,Michael,Keane,8,2,0,0,1,0.01,0,3,0,90,0,1,0.01,0.02,1.43,106611,1.0
229,Neal,Maupay,8,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,115382,0.0
230,Dwight,McNeil,8,3,0,0,2,0.16,0,3,0,90,0,1,0.00,0.16,1.43,433154,2.0
231,Vitalii,Mykolenko,8,2,0,0,1,0.00,0,3,0,90,0,1,0.00,0.00,1.43,224967,1.0
232,Iliman,Ndiaye,8,4,0,0,1,0.00,0,1,0,27,0,0,0.00,0.00,0.30,440993,1.0
233,Amadou,Onana,2,3,0,3,10,0.01,0,1,1,90,0,1,0.55,0.56,2.46,449871,10.0
234,Nathan,Patterson,8,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,243571,0.0
235,Jordan,Pickford,8,1,0,0,1,0.02,0,3,0,90,0,1,0.00,0.02,1.43,111234,1.0
236,James,Tarkowski,8,2,0,0,0,0.01,0,3,0,90,0,1,0.01,0.02,1.43,17761,0.0
237,Youssef,Ramalho Chermiti,8,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491012,0.0
238,Ashley,Young,8,2,0,0,-2,0.17,0,3,0,65,1,1,0.00,0.17,1.23,18892,-2.0
239,Adama,Traoré,9,3,0,0,3,0.02,1,0,0,77,0,1,0.10,0.12,1.57,159533,3.0
240,Andreas,Hoelgebaum Pereira,9,3,0,0,1,0.16,0,1,0,90,0,1,0.00,0.16,1.77,156689,1.0
241,Calvin,Bassey,9,2,0,0,1,0.03,0,1,0,90,0,1,0.10,0.13,2.43,232892,1.0
